Age,Gender,Current Weight (lbs),BMR (Calories),Daily Calories Consumed,Daily Caloric Surplus/Deficit,Weight Change (lbs),Duration (weeks),Physical Activity Level,Sleep Quality,Stress Level,Final Weight (lbs),Daily_Weight_Change
32,M,168.2,1670.4,2260.9,-328.3,-3.283,5,Moderately Active,Good,7,164.9,-0.09379137864424021
40,F,168.4,1465.4,2496.6,-31.1,-0.311,5,Very Active,Poor,6,168.1,-0.008896003794321846
20,F,167.9,1563.1,3003.7,580.8,9.293,8,Moderately Active,Excellent,7,177.2,0.16595140933451616
47,M,209.6,1783.4,2154.8,14.8,0.237,8,Sedentary,Fair,4,209.9,0.004225180618148053
21,F,171.5,1574.5,1494.6,-394.9,-3.159,4,Sedentary,Fair,3,168.4,-0.11282704360194339
26,F,154.5,1472.3,2903.6,363.8,5.822,8,Very Active,Good,4,160.3,0.10395614105103518
60,F,164.6,1348.1,2722.4,396.9,9.526,12,Very Active,Excellent,8,174.1,0.11340840612911207
26,M,186.2,1781.9,2817.2,367.1,6.608,9,Lightly Active,Fair,7,192.8,0.10489161005501059
46,M,238.6,1919.8,2484.8,-826.8,-8.268,5,Very Active,Excellent,3,230.3,-0.236230217006407
32,F,165.4,1491.8,2503.5,191.2,4.589,12,Moderately Active,Good,4,170.0,0.05462679927740958
21,F,165.3,1546.4,3535.6,868.1,10.417,6,Very Active,Fair,3,175.7,0.24803120223514127
23,M,244.1,2059.8,3364.3,171.6,2.402,7,Moderately Active,Fair,4,246.5,0.04901868491453453
46,F,189.7,1532.0,2434.5,60.0,1.319,11,Moderately Active,Poor,7,191.0,0.01712892087308046
21,F,181.9,1621.8,1607.7,-338.4,-2.707,4,Sedentary,Good,7,179.2,-0.09669015365594487
53,M,202.3,1720.1,2242.5,-724.7,-5.798,4,Very Active,Good,8,196.5,-0.20705844797973494
32,F,176.3,1541.2,1993.3,143.9,1.439,5,Sedentary,Good,8,177.8,0.04110118860042816
19,F,175.9,1604.3,2091.6,-114.3,-1.372,6,Lightly Active,Poor,1,174.5,-0.03265865058623565
51,F,176.5,1447.3,2619.5,123.0,1.722,7,Very Active,Excellent,6,178.3,0.03514251403047352
48,M,200.8,1738.3,2598.5,512.6,10.252,10,Sedentary,Poor,5,211.0,0.14645101141535205
54,M,211.3,1756.0,2300.8,193.7,1.937,5,Sedentary,Excellent,5,213.2,0.055333167013253325
43,F,216.8,1670.0,2708.8,120.2,1.202,5,Moderately Active,Good,3,218.0,0.03435342981276556
45,F,187.3,1526.2,2063.6,-569.2,-11.383,10,Very Active,Good,1,176.0,-0.16261946534282262
34,F,140.4,1368.5,2706.3,824.7,8.247,5,Lightly Active,Poor,12,148.7,0.23562616355495655
18,M,181.8,1802.4,1263.3,-899.6,-7.197,4,Sedentary,Excellent,4,174.7,-0.257019851727896
24,F,165.9,1534.0,2054.8,-591.4,-8.279,7,Very Active,Poor,5,157.6,-0.16896705007726606
58,M,170.1,1549.2,1557.7,-301.3,-6.026,10,Sedentary,Fair,8,164.1,-0.08608377914595881
53,M,241.3,1897.2,2222.7,-718.0,-17.231,12,Moderately Active,Poor,6,224.1,-0.2051299720457421
58,F,134.4,1221.3,1676.2,-430.6,-3.445,4,Very Active,Excellent,5,131.0,-0.12303443972814428
33,F,200.2,1644.7,1610.9,-650.5,-15.612,12,Lightly Active,Good,2,184.6,-0.18585901619296652
18,M,178.8,1788.7,1978.5,-168.0,-2.015,6,Sedentary,Excellent,5,176.8,-0.0479872611153615
41,F,193.2,1572.6,1781.3,-105.9,-1.059,5,Sedentary,Good,3,192.1,-0.030262411999893563
34,M,104.6,1372.2,2198.1,551.5,13.237,12,Sedentary,Fair,10,117.9,0.1575814140575782
33,F,161.2,1467.8,1288.5,-729.7,-10.216,7,Lightly Active,Fair,5,151.0,-0.2084900229924711
42,F,175.0,1485.4,1615.1,-687.3,-15.121,11,Moderately Active,Fair,3,159.9,-0.1963715638007399
21,M,205.1,1892.9,1598.8,-672.7,-6.727,5,Sedentary,Excellent,10,198.4,-0.19219872951310163
36,M,213.5,1856.0,3581.1,379.5,6.831,9,Very Active,Excellent,9,220.3,0.10842112634853726
49,F,188.6,1512.0,3002.8,394.6,9.472,12,Very Active,Fair,9,198.1,0.1127565998326684
56,M,158.0,1504.2,1826.9,21.8,0.218,5,Sedentary,Good,6,158.2,0.006240260855963178
25,F,183.5,1609.0,1848.1,-364.2,-8.741,12,Lightly Active,Good,6,174.8,-0.1040633104644716
36,M,195.8,1775.5,2014.9,-426.4,-7.675,9,Lightly Active,Good,5,188.1,-0.12182222653833313
18,M,186.7,1824.3,2959.1,450.7,3.605,4,Lightly Active,Excellent,7,190.3,0.1287636432119819
40,F,207.9,1644.4,2366.4,-182.4,-3.283,9,Moderately Active,Good,7,204.6,-0.05210437008010857
41,M,175.2,1657.2,1713.5,-565.1,-11.302,10,Lightly Active,Excellent,7,163.9,-0.16145751631900293
28,F,165.5,1512.4,1200.0,-614.9,-7.379,6,Sedentary,Excellent,9,158.2,-0.17568632171392742
27,M,208.1,1876.3,2968.8,388.9,4.666,6,Lightly Active,Excellent,2,212.7,0.11110179181156841
36,M,135.8,1503.3,2927.0,859.9,6.879,4,Lightly Active,Fair,6,142.6,0.24567223037496932
42,M,229.2,1897.3,3339.6,66.8,1.202,9,Very Active,Poor,6,230.4,0.019078104072633453
20,M,178.9,1779.0,2963.5,-105.3,-1.264,6,Very Active,Good,9,177.6,-0.030087162030930422
48,M,200.8,1738.5,1952.8,-741.9,-13.355,9,Moderately Active,Poor,3,187.5,-0.21198248087229982
41,M,187.5,1712.9,2182.4,-772.4,-7.724,5,Very Active,Poor,6,179.8,-0.2206927729946522
47,M,201.5,1746.3,1984.6,-111.0,-2.443,11,Sedentary,Fair,7,199.0,-0.03172186085192405
45,F,174.4,1467.5,2166.3,148.5,2.079,7,Lightly Active,Excellent,5,176.5,0.04243691838434383
58,F,153.9,1309.6,2726.2,467.2,4.672,5,Very Active,Fair,8,158.6,0.13347481046108636
51,M,221.6,1817.5,3038.8,539.8,12.955,12,Lightly Active,Fair,6,234.5,0.15423058017601046
32,M,172.5,1689.9,1200.0,-827.8,-9.934,6,Sedentary,Fair,12,162.5,-0.23652717693220426
41,M,213.5,1830.9,1636.3,-560.7,-10.093,9,Sedentary,Poor,3,203.4,-0.1602109300396533
32,F,198.4,1641.5,2615.8,646.0,10.335,8,Sedentary,Excellent,6,208.8,0.1845579503137028
35,M,194.6,1775.0,1895.9,-855.3,-20.528,12,Moderately Active,Good,3,174.0,-0.24438431408555705
61,F,96.5,1034.4,2291.7,869.3,15.648,9,Lightly Active,Fair,7,112.2,0.2483784833093681
54,F,148.1,1303.4,1484.2,-79.9,-1.278,8,Sedentary,Poor,10,146.9,-0.022820312204426953
18,F,125.2,1379.3,2373.9,477.4,5.729,6,Lightly Active,Good,12,130.9,0.1363980347187338
40,F,184.2,1537.2,2334.4,-48.3,-0.58,6,Moderately Active,Fair,4,183.7,-0.013811968328852346
23,F,194.1,1667.0,2884.2,300.2,4.804,8,Moderately Active,Good,6,198.9,0.08578387537667784
20,M,192.9,1842.5,2898.6,42.7,0.768,9,Moderately Active,Poor,4,193.7,0.01218989376911577
51,M,169.4,1580.8,2878.5,428.2,9.421,11,Moderately Active,Good,8,178.8,0.1223488115981315
30,F,175.1,1545.7,1200.0,-654.8,-11.786,9,Sedentary,Excellent,8,163.3,-0.1870856546295005
37,M,203.8,1807.1,3007.1,-110.1,-1.542,7,Very Active,Good,1,202.3,-0.03146963817173842
55,M,172.6,1575.5,1200.0,-690.6,-6.906,5,Sedentary,Poor,9,165.7,-0.19732527929472365
28,M,180.1,1744.4,2734.0,30.3,0.605,10,Moderately Active,Poor,9,180.7,0.008648102789636401
43,M,167.0,1610.1,1802.0,-693.6,-5.549,4,Moderately Active,Excellent,7,161.5,-0.1981813733334487
58,M,237.0,1852.7,2089.2,-782.5,-18.779,12,Moderately Active,Poor,7,218.3,-0.22356168962968162
23,M,200.6,1862.5,3085.5,850.5,8.505,5,Sedentary,Poor,5,209.1,0.24299485962093267
23,F,166.1,1539.7,2723.1,67.0,1.609,12,Very Active,Fair,3,167.7,0.0191517408670118
18,F,172.1,1592.1,3199.3,731.6,17.558,12,Moderately Active,Poor,8,189.7,0.20901839336159433
41,M,171.7,1641.2,2641.3,97.5,2.144,11,Moderately Active,Poor,5,173.8,0.027846336246809707
25,F,151.6,1464.2,2149.3,135.9,2.175,8,Lightly Active,Poor,4,153.8,0.03884147289621946
30,F,153.6,1448.3,2151.9,-346.5,-5.544,8,Very Active,Good,2,148.1,-0.0989971463768118
48,M,218.3,1817.5,3334.9,835.8,8.358,5,Lightly Active,Good,4,226.6,0.23880459990691152
24,F,108.5,1273.6,1480.6,-716.4,-10.029,7,Very Active,Excellent,2,98.5,-0.20467711067983757
40,M,151.6,1555.3,3036.3,625.6,12.511,10,Moderately Active,Excellent,2,164.1,0.17873333837209976
30,M,196.6,1809.2,3076.6,-44.2,-0.354,4,Very Active,Poor,9,196.2,-0.012631221409492485
59,F,147.6,1276.1,1466.9,-511.1,-10.221,10,Moderately Active,Poor,7,137.4,-0.14601579474374135
46,F,187.2,1520.6,3086.7,463.8,10.203,11,Very Active,Excellent,7,197.4,0.13250319630227256
56,F,164.6,1368.2,2828.2,707.5,14.15,10,Moderately Active,Good,3,178.8,0.20213860886200277
46,F,226.0,1696.5,2821.8,192.3,4.615,12,Moderately Active,Excellent,4,230.6,0.05493965457359121
18,F,160.5,1539.4,3083.9,697.8,6.978,5,Moderately Active,Poor,3,167.5,0.1993713868861991
29,M,164.9,1670.5,2754.3,-127.3,-2.037,8,Very Active,Poor,6,162.9,-0.03637382554132208
35,M,145.1,1550.9,1636.3,-496.1,-9.922,10,Lightly Active,Fair,7,135.2,-0.14174499512251
46,F,135.8,1287.3,1646.2,-349.1,-2.793,4,Moderately Active,Excellent,6,133.0,-0.09975535418771019
27,M,207.9,1875.3,2237.4,-341.2,-2.729,4,Lightly Active,Excellent,5,205.1,-0.09747743493476044
34,M,189.3,1756.0,2716.9,-312.2,-3.747,6,Very Active,Good,10,185.5,-0.08920800296919983
35,F,160.6,1454.9,2878.4,368.6,5.161,7,Very Active,Poor,2,165.7,0.10532390504730978
61,M,173.1,1547.8,1995.4,-132.9,-1.329,5,Lightly Active,Good,1,171.8,-0.037966955043679716
18,M,204.2,1903.5,2301.9,-315.4,-5.047,8,Lightly Active,Poor,4,199.1,-0.09011630151385128
18,M,107.7,1466.2,2152.0,-120.7,-1.689,7,Moderately Active,Excellent,7,106.1,-0.03447659690380403
57,M,223.4,1796.0,2509.7,40.2,0.402,5,Lightly Active,Excellent,5,223.8,0.011475613121925042
46,M,149.2,1514.1,2778.8,696.9,6.969,5,Lightly Active,Fair,1,156.1,0.19911794411783246
29,F,188.5,1611.6,2062.8,128.9,1.289,5,Sedentary,Poor,6,189.8,0.036837819210292375
32,M,210.9,1864.0,3360.2,797.2,9.567,6,Lightly Active,Poor,12,220.4,0.22777839617185003
43,F,177.7,1492.7,2761.2,186.2,2.979,8,Very Active,Poor,5,180.7,0.053196997855780345
58,F,126.3,1184.3,2574.2,738.6,11.818,8,Moderately Active,Fair,4,138.1,0.2110330653094496
32,F,128.4,1324.0,2118.6,-165.3,-3.637,11,Very Active,Good,6,124.8,-0.047238525936494365
30,M,210.0,1869.9,3599.2,700.9,12.616,9,Moderately Active,Excellent,7,222.6,0.20026088064779898
37,M,185.8,1725.1,2546.6,-127.3,-1.782,7,Moderately Active,Fair,7,184.0,-0.03636115918197811
33,F,153.4,1432.2,2797.5,828.2,13.251,8,Lightly Active,Excellent,5,166.6,0.23662628224426727
35,M,166.6,1648.2,2111.1,-732.0,-16.105,11,Very Active,Good,10,150.5,-0.20915565670357616
18,F,97.2,1252.6,2536.0,594.5,4.756,4,Moderately Active,Excellent,1,102.0,0.169855086013472
27,F,124.3,1330.5,1200.0,-629.5,-10.072,8,Lightly Active,Fair,5,114.3,-0.17985089602329493
58,M,151.4,1464.3,2775.9,506.3,12.15,12,Moderately Active,Fair,3,163.6,0.14464412471077762
30,F,183.0,1581.5,2082.9,-91.6,-1.466,8,Lightly Active,Good,7,181.5,-0.02618097977414904
53,M,184.3,1638.7,1892.6,-73.8,-1.771,12,Sedentary,Good,5,182.6,-0.02108023497074438
48,F,184.2,1497.2,1992.1,-590.5,-14.172,12,Very Active,Fair,10,170.1,-0.16871975780789294
39,M,146.3,1535.9,1761.6,-81.5,-1.467,9,Sedentary,Good,8,144.8,-0.0232861184839835
41,M,179.2,1675.3,1683.0,-620.5,-9.928,8,Lightly Active,Excellent,6,169.3,-0.1772803010173137
18,F,104.5,1285.7,2261.3,718.5,8.621,6,Sedentary,Poor,4,113.2,0.205271553070319
37,F,177.8,1522.9,1857.1,29.6,0.652,11,Sedentary,Poor,7,178.4,0.008464482243009375
40,M,164.2,1612.2,3378.3,879.3,14.069,8,Moderately Active,Poor,12,178.3,0.2512281673951363
42,F,179.1,1503.7,1764.7,-39.7,-0.397,5,Sedentary,Excellent,9,178.7,-0.011347720885492565
51,F,175.6,1443.0,1851.5,-637.7,-10.203,8,Very Active,Excellent,4,165.4,-0.1822010737859253
28,F,148.0,1432.7,1712.8,-758.7,-10.621,7,Very Active,Poor,9,137.4,-0.21676173348449043
40,M,183.9,1701.5,2556.2,-81.1,-1.621,10,Moderately Active,Fair,8,182.2,-0.023159641998012896
51,F,168.1,1409.0,2434.8,744.1,10.417,7,Sedentary,Good,6,178.5,0.21258673808306483
27,F,145.6,1427.1,1825.1,-137.2,-1.646,6,Lightly Active,Excellent,6,144.0,-0.039193475042185455
45,M,205.5,1774.5,2490.8,-570.3,-12.547,11,Very Active,Fair,12,192.9,-0.16294349222017757
19,M,95.3,1404.9,1200.0,-485.9,-10.69,11,Sedentary,Excellent,5,84.6,-0.13883487232471628
28,M,212.5,1891.3,3377.6,115.1,1.612,7,Very Active,Poor,7,214.1,0.032894631616769275
51,M,210.3,1766.3,2808.1,688.6,11.017,8,Sedentary,Good,10,221.3,0.19673738115471107
26,F,154.9,1473.9,1200.0,-568.7,-9.099,8,Sedentary,Poor,10,145.8,-0.16247993662992655
37,F,199.6,1622.0,2428.8,482.5,9.649,10,Sedentary,Fair,4,209.3,0.13784420409338866
57,M,233.1,1839.8,3510.5,658.8,13.176,10,Moderately Active,Fair,10,246.3,0.18823485634990356
24,F,190.9,1647.2,1827.6,-437.4,-3.499,4,Lightly Active,Fair,9,187.4,-0.12495847126659893
47,F,164.1,1410.9,1563.2,-129.9,-3.118,12,Sedentary,Poor,6,161.0,-0.037121059664231716
30,M,200.8,1828.2,1862.6,-651.2,-14.326,11,Lightly Active,Excellent,1,186.5,-0.18605650719048936
49,F,156.7,1367.2,2619.1,500.0,5.0,5,Moderately Active,Good,6,161.7,0.14285286748544435
27,M,191.6,1801.5,3074.4,597.3,11.946,10,Lightly Active,Excellent,9,203.5,0.17065183216531504
28,M,199.2,1831.0,2386.6,-451.4,-4.514,5,Moderately Active,Poor,9,194.7,-0.12898266016152124
26,M,134.1,1545.8,2480.5,625.6,12.511,10,Sedentary,Excellent,7,146.6,0.1787303304612334
54,M,181.8,1622.1,3471.7,673.6,14.819,11,Very Active,Poor,3,196.6,0.19245152101743615
25,F,166.5,1531.9,1208.7,-629.5,-10.073,8,Sedentary,Poor,7,156.5,-0.17986622384319975
34,F,119.3,1272.8,1200.0,-772.8,-10.819,7,Moderately Active,Good,10,108.5,-0.22079213036568107
56,M,174.2,1577.5,2800.4,631.4,6.314,5,Lightly Active,Good,5,180.5,0.18038595583778286
19,F,166.0,1559.6,2242.0,370.5,4.446,6,Sedentary,Poor,6,170.5,0.10585133984392411
30,F,194.8,1635.1,2712.3,464.1,10.209,11,Lightly Active,Poor,5,205.0,0.13258712515084697
23,M,172.2,1733.4,3376.9,386.8,5.415,7,Very Active,Good,5,177.6,0.11051005174039008
41,M,143.2,1512.1,1200.0,-614.5,-12.291,10,Sedentary,Fair,8,130.9,-0.17557861441078948
44,M,210.7,1803.2,2392.5,-86.9,-1.39,8,Lightly Active,Poor,6,209.3,-0.024818401910534055
40,F,163.6,1443.8,3081.1,590.6,10.631,9,Very Active,Poor,7,174.3,0.168744237523152
54,F,96.8,1070.8,1807.6,147.8,2.07,7,Moderately Active,Poor,6,98.9,0.04224019236960781
26,F,170.0,1542.4,2625.0,-35.7,-0.642,9,Very Active,Poor,5,169.3,-0.010197131937191054
18,F,112.5,1321.8,2747.0,698.2,8.379,6,Moderately Active,Poor,5,120.9,0.19948951362592016
27,F,110.3,1266.8,1200.0,-320.1,-5.762,9,Sedentary,Excellent,7,104.5,-0.091466076187905
54,F,186.1,1475.6,1440.9,-846.3,-6.77,4,Moderately Active,Good,8,179.3,-0.24179000189082295
50,F,171.5,1429.3,2403.5,188.0,1.88,5,Moderately Active,Poor,4,173.4,0.053709347890412186
27,M,169.7,1702.1,3056.0,715.6,7.156,5,Lightly Active,Fair,6,176.8,0.2044636454720369
28,M,179.9,1743.5,2753.1,50.7,1.116,11,Moderately Active,Excellent,6,181.0,0.014491334743769974
18,M,240.3,2067.5,1770.4,-710.6,-11.37,8,Sedentary,Good,7,228.9,-0.2030399270410143
54,F,129.6,1219.3,1822.3,359.1,3.591,5,Sedentary,Poor,9,133.2,0.10259025023711962
56,F,154.9,1324.2,2445.6,161.4,1.291,4,Very Active,Fair,5,156.2,0.04610560709148415
34,F,217.5,1717.9,1536.6,-524.9,-6.299,6,Sedentary,Good,7,211.2,-0.14997275824719683
50,M,230.7,1863.9,3664.5,775.5,9.306,6,Moderately Active,Good,7,240.0,0.22157476695102052
42,F,220.0,1689.5,2556.9,529.5,7.413,7,Sedentary,Poor,5,227.4,0.15129330833432128
26,M,233.7,1997.4,2762.8,-682.7,-15.02,11,Very Active,Fair,8,218.7,-0.1950693653148975
51,M,219.3,1807.1,2154.6,-13.9,-0.222,8,Sedentary,Good,9,219.0,-0.003971056511394116
25,M,205.3,1873.5,2755.6,507.3,8.117,8,Sedentary,Poor,8,213.4,0.1449541070473854
44,M,126.8,1422.6,2437.3,481.3,9.625,10,Lightly Active,Poor,5,136.4,0.13750657209228237
33,F,195.5,1623.2,1304.7,-643.2,-10.29,8,Sedentary,Fair,7,185.2,-0.18375817583155524
51,F,146.5,1310.8,1636.2,63.3,1.013,8,Sedentary,Excellent,8,147.5,0.018083407534706372
25,M,207.6,1884.0,2358.8,98.1,1.569,8,Sedentary,Good,10,209.1,0.02801967475816803
42,M,198.7,1758.6,2004.1,-414.1,-6.625,8,Lightly Active,Good,4,192.0,-0.11830834101892944
46,M,192.3,1710.0,2110.5,58.5,0.937,8,Sedentary,Poor,8,193.3,0.01672464101605978
22,F,180.3,1609.3,2670.6,739.4,7.394,5,Sedentary,Fair,9,187.7,0.21126167450386935
47,F,175.2,1461.1,1879.3,-129.7,-1.557,6,Lightly Active,Fair,9,173.6,-0.03706970623493641
38,M,176.4,1677.7,2209.7,-97.2,-2.139,11,Lightly Active,Fair,8,174.3,-0.027774847478484323
25,M,219.2,1936.7,2650.3,-12.7,-0.127,5,Lightly Active,Good,6,219.1,-0.003619269845406312
53,M,159.1,1524.1,2718.7,89.7,1.794,10,Very Active,Fair,5,160.9,0.02562476709434499
18,M,134.5,1587.6,1710.7,-194.4,-4.666,12,Sedentary,Excellent,6,129.8,-0.055552153702754174
47,F,183.7,1499.5,3073.7,749.4,11.991,8,Moderately Active,Poor,9,195.6,0.21411627489201615
39,M,181.1,1693.8,1888.6,-440.3,-3.522,4,Lightly Active,Fair,12,177.5,-0.1257980403791285
62,M,162.1,1492.8,3256.3,681.2,14.987,11,Very Active,Fair,9,177.1,0.19464067240764676
33,M,201.2,1814.9,2485.9,-327.2,-2.618,4,Moderately Active,Fair,4,198.5,-0.09348802474515118
31,M,211.3,1871.1,2459.4,-440.9,-10.581,12,Moderately Active,Good,8,200.8,-0.12596571984537072
35,F,126.8,1301.4,2719.5,702.3,16.855,12,Moderately Active,Poor,3,143.6,0.20065478037431506
59,F,155.7,1313.0,2326.8,62.0,1.363,11,Very Active,Poor,8,157.1,0.01770535971353872
55,M,205.3,1723.6,1847.6,-522.3,-11.491,11,Lightly Active,Poor,3,193.8,-0.14923370721161752
43,F,133.7,1293.0,2070.1,-160.3,-2.885,9,Very Active,Fair,6,130.8,-0.04578804290215651
44,F,141.7,1324.3,2003.0,413.9,4.139,5,Sedentary,Poor,5,145.8,0.1182528963704708
26,M,175.8,1734.7,2138.3,56.7,0.453,4,Sedentary,Excellent,7,176.2,0.0161947962552249
25,M,95.3,1374.7,1514.6,-375.6,-5.258,7,Lightly Active,Excellent,1,90.0,-0.10730123748137878
22,F,178.4,1600.8,3549.2,787.8,11.03,7,Very Active,Fair,7,189.4,0.2250947967636101
27,M,194.0,1812.3,3164.5,38.4,0.614,8,Very Active,Good,9,194.6,0.010969329734219433
41,M,200.9,1773.5,3838.5,779.1,7.791,5,Very Active,Excellent,7,208.6,0.22260236975273553
45,F,156.0,1384.1,1613.6,-774.0,-10.836,7,Very Active,Fair,7,145.2,-0.2211402281545292
19,M,161.7,1705.8,1715.5,-331.4,-6.629,10,Sedentary,Excellent,8,155.0,-0.09469697449048739
32,F,111.5,1247.1,2263.4,766.8,18.403,12,Sedentary,Excellent,5,129.9,0.2190886353110062
18,M,118.6,1515.4,3216.2,867.2,6.938,4,Moderately Active,Fair,4,125.5,0.24778553879487533
30,F,185.4,1592.3,2786.8,318.7,7.011,11,Moderately Active,Poor,3,192.4,0.09105439534463039
18,M,111.0,1480.9,2291.5,-3.9,-0.086,11,Moderately Active,Excellent,5,110.9,-0.0011121309549457041
38,F,151.8,1400.3,1291.3,-389.0,-4.668,6,Sedentary,Fair,2,147.2,-0.11114294154177677
58,M,145.0,1435.2,2631.8,658.4,10.535,8,Lightly Active,Poor,6,155.5,0.18812431803416801
38,M,190.7,1742.4,1979.6,-721.1,-17.306,12,Moderately Active,Good,2,173.4,-0.20601932889361135
32,M,204.8,1836.3,3283.3,437.1,7.868,9,Moderately Active,Poor,8,212.6,0.1248846127482145
33,M,229.1,1941.6,3366.5,357.1,7.141,10,Moderately Active,Fair,1,236.2,0.10201471530439384
41,F,221.4,1700.8,2730.2,391.6,8.615,11,Lightly Active,Excellent,2,230.0,0.11188095853178129
27,M,238.7,2015.1,2255.5,-162.7,-1.627,5,Sedentary,Fair,12,237.1,-0.04648798837672257
54,F,176.8,1433.6,3124.8,651.9,15.645,12,Very Active,Fair,6,192.5,0.1862511570410531
20,M,195.4,1853.7,3048.6,824.2,16.483,10,Sedentary,Excellent,6,211.9,0.23547554952588312
62,M,200.4,1666.5,2802.4,511.0,12.264,12,Lightly Active,Good,12,212.7,0.1459964889759684
29,M,203.9,1847.3,3621.1,434.5,4.345,5,Very Active,Fair,5,208.2,0.12415626327558273
57,F,163.4,1357.7,1399.7,-467.1,-6.54,7,Lightly Active,Poor,10,156.9,-0.13346883642771412
58,F,161.3,1343.1,2306.4,694.7,11.115,8,Sedentary,Excellent,11,172.4,0.19848535337123804
41,M,205.9,1796.3,2341.2,-757.4,-13.634,9,Very Active,Fair,3,192.2,-0.21641306022531392
29,M,211.5,1881.8,1872.2,-386.0,-7.719,10,Sedentary,Excellent,6,203.8,-0.11027168405863358
44,M,138.7,1476.5,2735.7,188.7,1.887,5,Very Active,Good,1,140.6,0.053921179286630705
18,F,104.4,1285.2,2496.6,504.5,9.082,9,Moderately Active,Fair,7,113.5,0.14415359687474283
36,M,178.7,1698.1,2362.0,27.0,0.27,5,Lightly Active,Excellent,2,179.0,0.0077249778987882435
42,F,193.5,1569.1,2036.0,-670.7,-6.707,5,Very Active,Fair,1,186.8,-0.19162940261589093
41,M,197.6,1758.8,2720.3,-5.7,-0.126,11,Moderately Active,Poor,2,197.5,-0.0016386622981718964
20,M,185.8,1810.3,1881.8,-607.4,-10.933,9,Lightly Active,Poor,4,174.9,-0.1735450809944751
29,M,121.9,1475.6,1200.0,-570.8,-12.557,11,Sedentary,Fair,7,109.4,-0.16307313748612848
39,F,187.1,1555.1,1200.0,-666.2,-5.329,4,Sedentary,Excellent,1,181.8,-0.1903293410999363
45,M,206.5,1779.4,2642.7,-426.7,-5.121,6,Very Active,Fair,4,201.4,-0.12192582500919642
29,F,159.6,1480.3,1730.8,-304.6,-6.093,10,Lightly Active,Good,6,153.5,-0.08703941255473917
35,F,208.8,1673.4,3608.8,722.2,17.333,12,Very Active,Fair,7,226.1,0.20634364515131373
28,F,193.8,1640.6,2713.9,745.2,14.904,10,Sedentary,Excellent,8,208.7,0.21292137040704776
46,F,174.3,1462.0,2411.0,144.8,2.897,10,Moderately Active,Poor,7,177.2,0.04138400155566472
56,F,160.1,1347.9,1546.2,-543.0,-9.774,9,Moderately Active,Good,3,150.4,-0.15514839549684933
18,M,190.6,1841.8,3022.8,167.9,1.679,5,Moderately Active,Poor,3,192.2,0.04797368591330113
18,F,188.6,1666.9,1347.0,-653.3,-15.68,12,Sedentary,Excellent,2,172.9,-0.18666364942335634
43,F,149.8,1366.0,2215.7,98.3,1.377,7,Moderately Active,Fair,1,151.2,0.028091980167383165
36,F,156.8,1432.5,1791.2,-679.9,-16.318,12,Very Active,Good,10,140.4,-0.19426708576597482
58,F,155.2,1315.6,2683.9,874.9,10.499,6,Lightly Active,Good,8,165.7,0.24998114554236858
23,M,185.1,1791.9,1731.9,-418.4,-5.02,6,Sedentary,Excellent,5,180.0,-0.11953230905554002
